rain,humid,storage,used ,flow ,discharge
79,1004,2.6,1.89,0,No risk
25.6,1003.9,2.6,1.89,0,No risk
1.6,1003.8,2.6,1.89,0,No risk
0.4,1003.2,2.6,1.89,0,No risk
0.8,1003.1,2.6,1.89,0,No risk
0.2,1003.5,2.6,1.89,0,No risk
0.6,1004,2.6,1.89,0,No risk
0.8,1004.5,2.6,1.89,0,No risk
0.6,1005.3,2.6,1.89,0,No risk
0.4,1005.6,2.6,1.89,0,No risk
1.4,1005.5,2.6,1.89,0,No risk
0.6,1004.8,2.6,1.89,0,No risk
1.2,1003.8,2.6,1.89,0,No risk
4.2,1002.2,2.6,1.89,0,No risk
1,1001.3,2.6,1.89,0,No risk
1.2,1000.5,2.6,1.89,0,No risk
15.2,1000.7,2.6,1.89,0,No risk
1,1000.9,2.6,1.89,0,No risk
1.2,1001.6,2.6,1.89,0,No risk
2,1002.6,2.6,1.89,0,No risk
0.6,1003.4,2.6,1.89,0,No risk
2.6,1003.8,2.6,1.89,0,No risk
1.6,1004.1,2.6,1.89,0,No risk
1.2,1004.3,2.6,1.89,0,No risk
1.6,1004.2,2.6,1.89,0,No risk
0.8,1004,2.6,1.89,0,No risk
1,-999,2.6,1.89,0,No risk
0.8,-999,2.6,1.89,0,No risk
5.6,-999,2.6,1.89,0,No risk
19.8,-999,2.6,1.89,0,No risk
72.8,-999,2.6,1.89,0,No risk
3,-999,2.6,1.89,0,No risk
5,-999,2.6,1.89,0,No risk
0.6,-999,2.6,1.89,0,No risk
1.6,-999,2.6,1.89,0,No risk
1,-999,2.6,1.89,0,No risk
0.8,-999,2.6,1.89,0,No risk
1.2,-999,2.6,1.89,0,No risk
2.2,-999,2.6,1.89,0,No risk
2.2,-999,2.6,1.89,0,No risk
33.6,-999,2.55,1.84,0,No risk
2.4,-999,2.55,1.84,0,No risk
2,-999,2.55,1.84,0,No risk
0.8,-999,2.55,1.84,0,No risk
2.4,-999,2.55,1.84,0,No risk
3.4,-999,2.55,1.84,0,No risk
0.8,-999,2.55,1.84,0,No risk
1.2,-999,2.55,1.84,0,No risk
2.8,-999,2.55,1.84,0,No risk
7,-999,2.55,1.84,0,No risk
1.4,-999,2.55,1.84,0,No risk
0,-999,2.55,1.84,0,No risk
1.6,-999,2.55,1.84,0,No risk
20,-999,2.55,1.84,0,No risk
1,-999,2.55,1.84,0,No risk
2.2,-999,2.55,1.84,0,No risk
0.6,-999,2.54,1.83,0,No risk
0.2,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
1.2,-999,2.51,1.8,0,No risk
41,-999,2.51,1.8,0,No risk
36.4,-999,2.51,1.8,0,No risk
0,-999,2.51,1.8,0,No risk
5.8,-999,2.51,1.8,0,No risk
0.2,-999,2.51,1.8,0,No risk
55.6,-999,2.51,1.8,0,No risk
5.4,-999,2.51,1.8,0,No risk
0.6,-999,2.51,1.8,0,No risk
27,-999,2.51,1.8,0,No risk
5.4,-999,2.51,1.8,0,No risk
12.4,-999,2.51,1.8,0,No risk
1.6,-999,2.51,1.8,0,No risk
2.4,-999,2.51,1.8,0,No risk
0.2,-999,2.51,1.8,0,No risk
1.8,-999,2.51,1.8,0,No risk
19.8,-999,2.51,1.8,0,No risk
3.2,-999,2.51,1.8,0,No risk
8.2,-999,2.51,1.8,0,No risk
30.6,-999,2.51,1.8,0,No risk
0.8,-999,2.51,1.8,0,No risk
1.2,-999,2.51,1.8,0,No risk
1.4,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
1,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
0.8,-999,2.51,1.8,0,No risk
1.6,-999,2.51,1.8,0,No risk
14.4,-999,2.51,1.8,0,No risk
1.8,-999,2.51,1.8,0,No risk
0.2,-999,2.51,1.8,0,No risk
5.8,-999,2.51,1.8,0,No risk
0.6,-999,2.51,1.8,0,No risk
4.4,-999,2.51,1.8,0,No risk
2.4,-999,2.51,1.8,0,No risk
0.2,-999,2.51,1.8,0,No risk
1.2,-999,2.51,1.8,0,No risk
3.6,-999,2.51,1.8,0,No risk
4.6,-999,2.51,1.8,0,No risk
1.6,-999,2.51,1.8,0,No risk
0.8,-999,2.51,1.8,0,No risk
2.2,-999,2.51,1.8,0,No risk
7,-999,2.51,1.8,0,No risk
48.4,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
8.6,-999,2.51,1.8,0,No risk
9,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
0.4,-999,2.51,1.8,0,No risk
22.8,-999,2.51,1.8,0,No risk
124.4,-999,2.51,1.8,0,No risk
13.8,-999,2.51,1.8,0,No risk
0,-999,2.51,1.8,0,No risk
0.2,-999,2.97,2.26,0,No risk
4.2,-999,2.97,2.26,0,No risk
0,-999,2.97,2.26,0,No risk
0,-999,3.06,2.35,0,No risk
0.6,-999,3.06,2.35,0,No risk
0.2,-999,3.06,2.35,0,No risk
5.6,-999,3.06,2.35,0,No risk
0,-999,3.06,2.35,0,No risk
32.6,-999,3.06,2.35,0,No risk
6.2,-999,3.06,2.35,0,No risk
5.4,-999,2.88,2.17,0,No risk
3,-999,2.88,2.17,0,No risk
0,-999,2.88,2.17,0,No risk
40.6,-999,2.88,2.17,0,No risk
12.2,-999,2.88,2.17,0,No risk
0,-999,2.88,2.17,0,No risk
2.4,-999,2.67,1.96,0,No risk
15,-999,2.67,1.96,0,No risk
6.6,-999,2.67,1.96,0,No risk
0.4,1002.6,2.67,1.96,0,No risk
1.6,1001.3,2.67,1.96,0,No risk
21,999.8,2.67,1.96,0,No risk
2.6,998.2,2.67,1.96,0,No risk
0,997.1,2.67,1.96,0,No risk
11,996.8,2.67,1.96,0,No risk
18.8,997.2,2.67,1.96,0,No risk
3.4,997.9,2.67,1.96,0,No risk
8,998.6,2.67,1.96,0,No risk
0.4,999.1,2.67,1.96,0,No risk
0.8,999.3,2.67,1.96,0,No risk
0,999.4,2.67,1.96,0,No risk
0,999.5,2.67,1.96,0,No risk
0,999.3,3.85,3.14,0.27,No risk
0,999.5,3.85,3.14,0.27,No risk
1.4,999.3,3.85,3.14,0.27,No risk
0,998.9,3.85,3.14,0.27,No risk
0,999,3.85,3.14,0.27,No risk
42.6,999.7,3.85,3.14,0.27,No risk
2.6,1000.1,3.85,3.14,0.27,No risk
0,1000.7,3.85,3.14,0.27,No risk
3.6,1001.4,3.85,3.14,0.27,No risk
0,1002,3.85,3.14,0.27,No risk
0,1002,3.85,3.14,0.27,No risk
0,1001.1,3.85,3.14,0.27,No risk
0,999.5,3.85,3.14,0.27,No risk
0,998,3.85,3.14,0.27,No risk
0,996.9,3.85,3.14,0.27,No risk
0,996.3,3.85,3.14,0.27,No risk
0,996.2,3.85,3.14,0.27,No risk
0,996.3,3.85,3.14,0.27,No risk
0,997.2,3.91,3.2,1.26,Normal
0,998,3.91,3.2,1.26,Normal
0,998.4,3.91,3.2,1.26,Normal
0,999.1,3.91,3.2,1.26,Normal
0,999.4,3.91,3.2,1.26,Normal
0,999.6,3.91,3.2,1.26,Normal
0,999.8,3.91,3.2,1.26,Normal
0,999.7,3.91,3.2,1.26,Normal
0,999.6,3.91,3.2,1.26,Normal
0,999.1,3.91,3.2,1.26,Normal
0,999.2,3.91,3.2,1.26,Normal
0,999.6,3.91,3.2,1.26,Normal
0,1000.1,3.91,3.2,1.26,Normal
0,1000.9,3.91,3.2,1.26,Normal
0,1001.6,3.91,3.2,1.26,Normal
0,1002.1,3.91,3.2,1.26,Normal
0,1001.8,3.91,3.2,1.26,Normal
0,1001.1,3.91,3.2,1.26,Normal
0,999.6,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,995.9,3.91,3.2,1.26,Normal
0,995.8,3.91,3.2,1.26,Normal
0,996.1,3.91,3.2,1.26,Normal
0,996.6,3.91,3.2,1.26,Normal
0,997.2,3.91,3.2,1.26,Normal
0,997.8,3.91,3.2,1.26,Normal
0,998.2,3.91,3.2,1.26,Normal
0,998.5,3.91,3.2,1.26,Normal
0,998.7,3.91,3.2,1.26,Normal
0,998.8,3.91,3.2,1.26,Normal
0,998.9,3.91,3.2,1.26,Normal
0,998.5,3.91,3.2,1.26,Normal
0,998.3,3.91,3.2,1.26,Normal
0,998.4,3.91,3.2,1.26,Normal
0,998.8,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.26,Normal
0,-999,3.91,3.2,1.25,Normal
0,-999,3.91,3.2,1.25,Normal
0,-999,3.91,3.2,1.25,Normal
0,-999,3.91,3.2,1.25,Normal
0,-999,3.9,3.19,1.02,Normal
0,-999,3.9,3.19,1.02,Normal
0,-999,3.9,3.19,1.02,Normal
0,-999,3.89,3.18,1.01,Normal
0,-999,3.89,3.18,1.01,Normal
0,-999,3.89,3.18,1.01,Normal
0,-999,3.89,3.18,1.01,Normal
0,-999,3.89,3.18,0.9,No risk
0,1003.3,3.89,3.18,0.9,No risk
0,1003,3.89,3.18,0.9,No risk
0,1002.6,3.89,3.18,0.9,No risk
0,1002.3,3.89,3.18,0.9,No risk
0,-999,3.89,3.18,0.9,No risk
0,-999,3.89,3.18,0.9,No risk
0,-999,3.89,3.18,0.9,No risk
0,-999,3.89,3.18,0.9,No risk
0,-999,3.89,3.18,0.9,No risk
0,1004.8,3.89,3.18,0.9,No risk
0,1004.4,3.89,3.18,0.9,No risk
0,1004,3.24,2.53,0.01,No risk
0,1002.9,3.24,2.53,0.01,No risk
0,1001.5,3.24,2.53,0.01,No risk
0,1000.7,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,1000.1,3.24,2.53,0.01,No risk
0,1000.7,3.24,2.53,0.01,No risk
0,1001.4,3.24,2.53,0.01,No risk
0,1002.1,3.24,2.53,0.01,No risk
0,1002.8,3.24,2.53,0.01,No risk
0,1003.2,3.24,2.53,0.01,No risk
0,1003.2,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,1004.1,3.24,2.53,0.01,No risk
0,1003.6,3.24,2.53,0.01,No risk
0,1002.6,3.24,2.53,0.01,No risk
0,1001.4,3.24,2.53,0.01,No risk
0,1000.1,3.24,2.53,0.01,No risk
0,999.1,3.24,2.53,0.01,No risk
0.2,998.5,3.24,2.53,0.01,No risk
0,998.3,3.24,2.53,0.01,No risk
0,998.6,3.24,2.53,0.01,No risk
0,999.1,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,1002.3,3.24,2.53,0.01,No risk
0,1002.3,3.24,2.53,0.01,No risk
0,1001.3,3.24,2.53,0.01,No risk
0,1000,3.24,2.53,0.01,No risk
5,998.8,3.24,2.53,0.01,No risk
0,997.8,3.24,2.53,0.01,No risk
0,997.1,3.24,2.53,0.01,No risk
0,997,3.24,2.53,0.01,No risk
0,997.3,3.24,2.53,0.01,No risk
0,998,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,1002.4,3.24,2.53,0.01,No risk
0,1002.6,3.24,2.53,0.01,No risk
0,1002.2,3.24,2.53,0.01,No risk
0,1001.2,3.24,2.53,0.01,No risk
0,999.9,3.24,2.53,0.01,No risk
0,998.6,3.24,2.53,0.01,No risk
1.4,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,996.9,3.24,2.53,0.01,No risk
0,997.6,3.24,2.53,0.01,No risk
0,998,3.24,2.53,0.01,No risk
0,998.4,3.24,2.53,0.01,No risk
2.4,998.9,3.24,2.53,0.01,No risk
0.8,999.4,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0.4,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
4.6,-999,3.24,2.53,0.01,No risk
0,-999,3.24,2.53,0.01,No risk
0,1001.6,3.24,2.53,0.01,No risk
0.2,1001.7,3.24,2.53,0.01,No risk
38.2,1000.6,3.24,2.53,0.01,No risk
17.4,999.4,2.85,2.14,0.01,No risk
0,997.9,2.85,2.14,0.01,No risk
0,997,2.85,2.14,0.01,No risk
5.6,996.4,2.85,2.14,0.01,No risk
0.4,996.7,2.67,1.96,0.01,No risk
0.8,997.1,2.67,1.96,0.01,No risk
0.4,997.6,2.67,1.96,0.01,No risk
9.6,998.2,2.67,1.96,0.01,No risk
0,-999,2.67,1.96,0.01,No risk
0,-999,2.67,1.96,0.01,No risk
13,-999,2.67,1.96,0.01,No risk
0.6,-999,2.67,1.96,0.01,No risk
0,-999,2.67,1.96,0.01,No risk
5.2,-999,2.69,1.98,0,No risk
0.4,-999,2.69,1.98,0,No risk
0.6,-999,2.69,1.98,0,No risk
32.8,-999,2.69,1.98,0,No risk
0.2,-999,2.67,1.96,0.01,No risk
0.4,-999,2.67,1.96,0.01,No risk
0.6,-999,2.67,1.96,0.01,No risk
7.2,1000.4,2.67,1.96,0.01,No risk
0.4,1000.7,2.67,1.96,0.01,No risk
0,1000.1,2.67,1.96,0.01,No risk
0.8,999.4,2.67,1.96,0.01,No risk
0.8,997.9,2.67,1.96,0.01,No risk
17.6,996.1,2.67,1.96,0.01,No risk
20,995,2.67,1.96,0.01,No risk
0.4,994.3,2.67,1.96,0.01,No risk
23.6,994.3,2.67,1.96,0.01,No risk
0.6,994.6,2.67,1.96,0.01,No risk
0.6,995.2,2.67,1.96,0.01,No risk
1,995.9,2.67,1.96,0.01,No risk
0.4,-999,2.67,1.96,0.01,No risk
1.2,-999,2.67,1.96,0.01,No risk
2.2,-999,2.67,1.96,0.01,No risk
40.4,-999,2.67,1.96,0.01,No risk
0,-999,2.67,1.96,0.01,No risk
4,-999,2.67,1.96,0.01,No risk
1.4,-999,2.67,1.96,0.01,No risk
2,-999,2.67,1.96,0.01,No risk
1,-999,2.67,1.96,0.01,No risk
1.6,-999,2.67,1.96,0.01,No risk
0.2,-999,2.67,1.96,0.01,No risk
1.4,-999,2.67,1.96,0.01,No risk
0.2,999.6,2.67,1.96,0.01,No risk
0.4,1000,2.67,1.96,0.01,No risk
0.2,999.6,2.67,1.96,0.01,No risk
1,-999,2.67,1.96,0.01,No risk
12.8,997.3,2.67,1.96,0.01,No risk
1.2,995.9,2.67,1.96,0.01,No risk
0,995,2.67,1.96,0.01,No risk
7,-999,2.67,1.96,0.01,No risk
4.6,994.7,2.67,1.96,0.01,No risk
0.4,995.3,2.67,1.96,0.01,No risk
27,996,2.67,1.96,0.01,No risk
6.2,996.7,2.62,1.91,0,No risk
12.4,997.2,2.62,1.91,0,No risk
0.2,997.5,2.62,1.91,0,No risk
1,997.4,2.62,1.91,0,No risk
0.8,997.7,2.62,1.91,0,No risk
1.4,997.8,2.62,1.91,0,No risk
0.6,997.8,2.62,1.91,0,No risk
0.8,997.7,2.62,1.91,0,No risk
0.4,997.4,2.62,1.91,0,No risk
1.2,997.6,2.62,1.91,0,No risk
0.2,998.2,2.62,1.91,0,No risk
1.2,998.8,2.62,1.91,0,No risk
1.2,999.8,2.62,1.91,0,No risk
0,1000.4,2.62,1.91,0,No risk
6.4,1000.8,2.62,1.91,0,No risk
0.2,1000.7,2.62,1.91,0,No risk
1.2,1000.2,2.62,1.91,0,No risk
1.4,999.1,2.62,1.91,0,No risk
1,997.8,2.62,1.91,0,No risk
0.2,996.8,2.62,1.91,0,No risk
0.6,996.2,2.62,1.91,0,No risk
0.4,996.5,2.62,1.91,0,No risk
3.4,997,2.62,1.91,0,No risk
8.2,997.9,2.64,1.93,0,No risk
5.4,998.9,2.64,1.93,0,No risk
4,999.9,2.64,1.93,0,No risk
1.2,1000.4,2.64,1.93,0,No risk
0.8,1000.6,2.64,1.93,0,No risk
13.4,1000.9,2.64,1.93,0,No risk
5.2,1000.8,2.64,1.93,0,No risk
1,1000.7,2.64,1.93,0,No risk
18.6,-999,2.64,1.93,0,No risk
0.6,-999,2.64,1.93,0,No risk
0.6,-999,2.64,1.93,0,No risk
0.4,-999,2.64,1.93,0,No risk
0.4,-999,2.64,1.93,0,No risk
15.2,-999,2.64,1.93,0,No risk
0.6,1002.8,2.64,1.93,0,No risk
8.2,-999,2.57,1.86,0,No risk
0.8,-999,2.57,1.86,0,No risk
13.6,1002.1,2.57,1.86,0,No risk
32.8,-999,2.57,1.86,0,No risk
24.2,999.2,2.57,1.86,0,No risk
0.2,998,2.57,1.86,0,No risk
0.4,997.3,2.57,1.86,0,No risk
0.2,997.1,2.57,1.86,0,No risk
0.2,997.6,2.57,1.86,0,No risk
0.2,998.1,2.57,1.86,0,No risk
0,999,2.57,1.86,0,No risk
0,1000,2.57,1.86,0,No risk
0,1000.5,2.57,1.86,0,No risk
0.6,1000.6,2.57,1.86,0,No risk
4.2,1000.6,2.57,1.86,0,No risk
1.2,1000.6,2.57,1.86,0,No risk
0.2,1000.3,2.57,1.86,0,No risk
0.6,1000.1,2.57,1.86,0,No risk
0.8,999.8,2.57,1.86,0,No risk
0.4,999.8,2.57,1.86,0,No risk
0.4,1000.1,2.57,1.86,0,No risk
32.4,1000.5,2.57,1.86,0,No risk
0.4,1001.3,2.57,1.86,0,No risk
1.4,1002.1,2.57,1.86,0,No risk
33.6,1002.8,2.57,1.86,0,No risk
1.8,1002.8,2.57,1.86,0,No risk
0.6,1002.1,2.57,1.86,0,No risk
0.4,1000.6,2.57,1.86,0,No risk
0.6,999.1,2.57,1.86,0,No risk
0,997.8,2.57,1.86,0,No risk
1.6,997.2,2.57,1.86,0,No risk
4.8,996.9,2.57,1.86,0,No risk
0.8,997.3,2.57,1.86,0,No risk
12.4,997.9,2.57,1.86,0,No risk
0.8,998.8,2.57,1.86,0,No risk
5.4,999.7,2.57,1.86,0,No risk
0.6,1000.4,2.57,1.86,0,No risk
11.8,-999,2.57,1.86,0,No risk
0.4,-999,2.57,1.86,0,No risk
11.8,-999,2.57,1.86,0,No risk
0.8,-999,2.57,1.86,0,No risk
2.6,-999,2.57,1.86,0,No risk
5,-999,2.57,1.86,0,No risk
35,-999,2.57,1.86,0,No risk
7.6,-999,2.57,1.86,0,No risk
1.4,-999,2.57,1.86,0,No risk
3.2,-999,2.57,1.86,0,No risk
6.2,-999,2.57,1.86,0,No risk
10,1004.3,2.57,1.86,0,No risk
4,1004.2,2.57,1.86,0,No risk
26.4,1003.5,2.57,1.86,0,No risk
0,1002.4,2.57,1.86,0,No risk
0.6,1001.3,2.57,1.86,0,No risk
7.4,1000.3,2.6,1.89,0.02,No risk
0.8,1000,2.6,1.89,0.02,No risk
0.4,1000.3,2.6,1.89,0.02,No risk
13.4,1001.2,2.6,1.89,0.02,No risk
0.4,1002.2,2.6,1.89,0.02,No risk
4.2,1003.4,2.6,1.89,0.02,No risk
14,1004.7,2.6,1.89,0.02,No risk
41.6,-999,2.6,1.89,0.02,No risk
3.4,-999,2.6,1.89,0.02,No risk
9.2,-999,2.6,1.89,0.02,No risk
9.4,-999,2.6,1.89,0.02,No risk
7.8,-999,2.6,1.89,0.02,No risk
54.2,-999,2.6,1.89,0.02,No risk
59.6,-999,2.6,1.89,0.02,No risk
0,-999,2.6,1.89,0.02,No risk
0.2,-999,2.6,1.89,0.02,No risk
0.2,-999,2.6,1.89,0.02,No risk
0,-999,2.6,1.89,0.02,No risk
0,1007.4,2.6,1.89,0.02,No risk
0,1007.6,3.94,3.23,1.4,Normal
5,1007.1,3.94,3.23,1.59,Normal
0,1006.1,3.94,3.23,1.59,Normal
0,1004.6,3.94,3.23,1.59,Normal
0,-999,3.94,3.23,1.59,Normal
0.8,1001.2,3.94,3.23,1.59,Normal
0.4,1000.5,3.94,3.23,1.59,Normal
0,1000.2,3.94,3.23,1.59,Normal
0.2,1000.4,3.94,3.23,1.59,Normal
0,1000.7,3.94,3.23,1.59,Normal
0,1001.4,3.94,3.23,1.59,Normal
0,1002.4,3.94,3.23,1.59,Normal
0,1002.9,3.94,3.23,1.59,Normal
6,1003.2,3.94,3.23,1.59,Normal
24,1003.1,3.94,3.23,1.59,Normal
8.2,-999,4.03,3.32,3.21,High risk of flooding
18.6,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
51.4,-999,4.03,3.32,3.21,High risk of flooding
5.2,-999,4.03,3.32,3.21,High risk of flooding
4.2,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
0,1003.5,4.03,3.32,3.21,High risk of flooding
0,1004,4.03,3.32,3.21,High risk of flooding
0,1003.8,4.03,3.32,3.21,High risk of flooding
1,1003,4.03,3.32,3.21,High risk of flooding
4,1001.7,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
3.8,998.9,4.03,3.32,3.21,High risk of flooding
10.2,998,4.03,3.32,3.21,High risk of flooding
0,997.8,4.03,3.32,3.21,High risk of flooding
0,997.9,4,3.29,3.18,High risk of flooding
0,998.1,4,3.29,3.18,High risk of flooding
0,998.7,3.99,3.28,2.62,Flooding risk
0.2,999.4,3.99,3.28,2.55,Flooding risk
0,999.8,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.55,Flooding risk
0,-999,3.99,3.28,2.47,Flooding risk
0,-999,3.96,3.25,2.44,Flooding risk
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.94,3.23,1.86,Normal
0,-999,3.94,3.23,1.86,Normal
0,-999,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,1001.2,3.95,3.24,1.87,Normal
0,1001.1,3.94,3.23,1.86,Normal
0,1000.4,3.94,3.23,1.86,Normal
0,999.2,3.95,3.24,1.87,Normal
0,-999,3.95,3.24,1.87,Normal
0,996.8,3.94,3.23,1.86,Normal
0,996.1,3.94,3.23,1.86,Normal
0,995.9,3.94,3.23,1.72,Normal
0,995.9,3.86,3.15,0.59,No risk
0,996.3,3.86,3.15,0.59,No risk
0,997.1,3.86,3.15,0.59,No risk
0,997.7,3.86,3.15,0.59,No risk
0,998.1,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.86,3.15,0.59,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.85,3.14,0.54,No risk
0,-999,3.82,3.11,0.24,No risk
0,999,3.82,3.11,0.24,No risk
0,999.2,3.82,3.11,0.24,No risk
0,998.9,3.82,3.11,0.24,No risk
0,998.2,3.82,3.11,0.24,No risk
0.2,996.8,3.82,3.11,0.24,No risk
0,-999,3.82,3.11,0.24,No risk
0,993.9,3.82,3.11,0.24,No risk
0,993.1,3.82,3.11,0.24,No risk
0,992.8,3.8,3.09,0.06,No risk
0,992.9,3.8,3.09,0.06,No risk
0,993.5,3.77,3.06,0.01,No risk
0,994.1,3.77,3.06,0.01,No risk
0,995.1,3.77,3.06,0.01,No risk
2,995.9,3.77,3.06,0.01,No risk
1.2,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.8,3.09,0.06,No risk
0,-999,3.76,3.05,0.01,No risk
0,-999,3.76,3.05,0.01,No risk
0,-999,3.76,3.05,0.01,No risk
